Customer_ID,Status_Checking_Acc,Duration_in_Months,Credit_History,Purposre_Credit_Taken,Credit_Amount,Savings_Acc,Years_At_Present_Employment,Inst_Rt_Income,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Property,Age,Other_Inst_Plans,Housing,Num_CC,Job,Dependents,Telephone,Foreign_Worker,Default_On_Payment,Customer_ID,Status score,credit history score,Credit_Amount score,savings score,Years_At_Present_Employment score,Other_Debtors_Guarantors score,Current_Address_Yrs score,Job score,Property score,Score pondéré,Score pondéré binaire
100011,0 <= … < 10000,12,existing credits paid back duly till now,car (new),1295,… < 1000 USD,… < 1 year,3,female divorced/separated/married,none,1,"car or other, not in attribute 6",25,none,rent,1,skilled employee / official,1,none,yes,No Default,100011,2,1,2,0,0,0,0,1,1,0.96,1
100012,… < 0 USD,48,existing credits paid back duly till now,business,4308,… < 1000 USD,… < 1 year,3,female divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,skilled employee / official,1,none,yes,No Default,100012,1,1,1,0,0,0,1,1,2,0.78,0
100013,0 <= … < 10000,12,existing credits paid back duly till now,radio/television,1567,… < 1000 USD,1 <= … < 4 years,1,female divorced/separated/married,none,1,"car or other, not in attribute 6",22,none,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100013,2,1,2,0,1,0,0,1,1,1.06,1
100014,… < 0 USD,24,critical account/other credits existing(not at this bank),car (new),1199,… < 1000 USD,.. >= 7 years,4,male  single,none,4,"car or other, not in attribute 6",60,none,own,2,unskilled - resident,1,none,yes,No Default,100014,1,0,2,0,3,0,1,0,1,0.91,1
100015,… < 0 USD,15,existing credits paid back duly till now,car (new),1403,… < 1000 USD,1 <= … < 4 years,2,female divorced/separated/married,none,4,"car or other, not in attribute 6",28,none,rent,1,skilled employee / official,1,none,yes,Defaulted,100015,1,1,2,0,1,0,1,1,1,0.96,1
100016,… < 0 USD,24,existing credits paid back duly till now,radio/television,1282,1000 <= … < 5000 USD,1 <= … < 4 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",32,none,own,1,unskilled - resident,1,none,yes,No Default,100016,1,1,2,1,1,0,0,0,1,0.91,1
100017,no checking account,24,critical account/other credits existing(not at this bank),radio/television,2424,unknown/ no savings account,.. >= 7 years,4,male  single,none,4,building society savings agreement/life insurance,53,none,own,2,skilled employee / official,1,none,yes,Defaulted,100017,0,0,2,0,3,0,1,1,2,0.81,0
100018,… < 0 USD,30,no credits taken/all credits paid back duly,business,8072,unknown/ no savings account,… < 1 year,2,male  single,none,3,"car or other, not in attribute 6",25,bank,own,3,skilled employee / official,1,none,yes,Defaulted,100018,1,2,1,0,0,0,1,1,1,0.93,1
100019,0 <= … < 10000,24,existing credits paid back duly till now,car (used),12579,… < 1000 USD,.. >= 7 years,4,female divorced/separated/married,none,2,unknown / no property,44,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,No Default,100019,2,1,0,0,3,0,0,2,0,1.00,1
100020,no checking account,24,existing credits paid back duly till now,radio/television,3430,5000 <= … < 10000 USD,.. >= 7 years,3,male  single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,2,"yes, registered under the customer’s name",yes,Defaulted,100020,0,1,1,2,3,0,0,1,1,0.93,1
100021,no checking account,9,critical account/other credits existing(not at this bank),car (new),2134,… < 1000 USD,1 <= … < 4 years,4,male  single,none,4,"car or other, not in attribute 6",48,none,own,3,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100021,0,0,2,0,1,0,1,1,1,0.56,0
100022,… < 0 USD,6,existing credits paid back duly till now,radio/television,2647,5000 <= … < 10000 USD,1 <= … < 4 years,2,male  single,none,3,real estate,44,none,rent,1,skilled employee / official,2,none,yes,Defaulted,100022,1,1,2,2,1,0,1,1,3,1.26,1
100023,… < 0 USD,10,critical account/other credits existing(not at this bank),car (new),2241,… < 1000 USD,… < 1 year,1,male  single,none,3,real estate,48,none,rent,2,unskilled - resident,2,none,no,Defaulted,100023,1,0,2,0,0,0,1,0,3,0.71,0
100024,0 <= … < 10000,12,critical account/other credits existing(not at this bank),car (used),1804,1000 <= … < 5000 USD,… < 1 year,3,male  single,none,4,building society savings agreement/life insurance,44,none,own,1,skilled employee / official,1,none,yes,Defaulted,100024,2,0,2,1,0,0,1,1,2,1.01,1
100025,no checking account,10,critical account/other credits existing(not at this bank),furniture/equipment,2069,unknown/ no savings account,1 <= … < 4 years,2,male  married/widowed,none,1,"car or other, not in attribute 6",26,none,own,2,skilled employee / official,1,none,no,Defaulted,100025,0,0,2,0,1,0,0,1,1,0.46,0
100026,… < 0 USD,6,existing credits paid back duly till now,furniture/equipment,1374,… < 1000 USD,1 <= … < 4 years,1,male  single,none,2,real estate,36,bank,own,1,unskilled - resident,1,"yes, registered under the customer’s name",yes,Defaulted,100026,1,1,2,0,1,0,0,0,3,0.91,1
100027,no checking account,6,no credits taken/all credits paid back duly,radio/television,426,… < 1000 USD,.. >= 7 years,4,male  married/widowed,none,4,"car or other, not in attribute 6",39,none,own,1,unskilled - resident,1,none,yes,Defaulted,100027,0,2,2,0,3,0,1,0,1,1.11,1
100028,… >= 10000 USD,12,all credits at this bank paid back duly,radio/television,409,.. >= 10000 USD,1 <= … < 4 years,3,female divorced/separated/married,none,3,real estate,42,none,rent,2,skilled employee / official,1,none,yes,Defaulted,100028,3,1,2,3,1,0,1,1,3,1.76,1
100029,0 <= … < 10000,7,existing credits paid back duly till now,radio/television,2415,… < 1000 USD,1 <= … < 4 years,3,male  single,guarantor,2,real estate,34,none,own,1,skilled employee / official,1,none,yes,Defaulted,100029,2,1,2,0,1,2,0,1,3,1.30,1
100030,… < 0 USD,60,delay in paying off in the past,business,6836,… < 1000 USD,.. >= 7 years,3,male  single,none,4,unknown / no property,63,none,own,2,skilled employee / official,1,"yes, registered under the customer’s name",yes,No Default,100030,1,0,1,0,3,0,1,1,0,0.78,0
100031,0 <= … < 10000,18,existing credits paid back duly till now,business,1913,.. >= 10000 USD,… < 1 year,3,male  married/widowed,none,3,real estate,36,bank,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100031,2,1,2,3,0,0,1,1,3,1.46,1
100032,… < 0 USD,24,existing credits paid back duly till now,furniture/equipment,4020,… < 1000 USD,1 <= … < 4 years,2,male  single,none,2,"car or other, not in attribute 6",27,stores,own,1,skilled employee / official,1,none,yes,Defaulted,100032,1,1,1,0,1,0,0,1,1,0.73,0
100033,0 <= … < 10000,18,existing credits paid back duly till now,car (new),5866,1000 <= … < 5000 USD,1 <= … < 4 years,2,male  single,none,2,"car or other, not in attribute 6",30,none,own,2,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100033,2,1,1,1,1,0,0,1,1,1.03,1
100034,no checking account,12,critical account/other credits existing(not at this bank),business,1264,unknown/ no savings account,.. >= 7 years,4,male  single,none,4,unknown / no property,57,none,rent,1,unskilled - resident,1,none,yes,Defaulted,100034,0,0,2,0,3,0,1,0,0,0.66,0
100035,… >= 10000 USD,12,existing credits paid back duly till now,furniture/equipment,1474,… < 1000 USD,… < 1 year,4,female divorced/separated/married,none,1,building society savings agreement/life insurance,33,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,Defaulted,100035,3,1,2,0,0,0,0,2,2,1.26,1
100036,0 <= … < 10000,45,critical account/other credits existing(not at this bank),radio/television,4746,… < 1000 USD,… < 1 year,4,male  single,none,2,building society savings agreement/life insurance,25,none,own,2,unskilled - resident,1,none,yes,No Default,100036,2,0,1,0,0,0,0,0,2,0.63,0
100037,no checking account,48,critical account/other credits existing(not at this bank),education,6110,… < 1000 USD,1 <= … < 4 years,1,male  single,none,3,unknown / no property,31,bank,for free,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100037,0,0,1,0,1,0,1,1,0,0.38,0
100038,… >= 10000 USD,18,existing credits paid back duly till now,radio/television,2100,… < 1000 USD,1 <= … < 4 years,4,male  single,co-applicant,2,real estate,37,stores,own,1,skilled employee / official,1,none,yes,No Default,100038,3,1,2,0,1,1,0,1,3,1.43,1
100039,… >= 10000 USD,10,existing credits paid back duly till now,domestic appliances,1225,… < 1000 USD,1 <= … < 4 years,2,male  single,none,2,"car or other, not in attribute 6",37,none,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100039,3,1,2,0,1,0,0,1,1,1.26,1
100040,0 <= … < 10000,9,existing credits paid back duly till now,radio/television,458,… < 1000 USD,1 <= … < 4 years,4,male  single,none,3,real estate,24,none,own,1,skilled employee / official,1,none,yes,Defaulted,100040,2,1,2,0,1,0,1,1,3,1.26,1
100041,no checking account,30,existing credits paid back duly till now,radio/television,2333,5000 <= … < 10000 USD,.. >= 7 years,4,male  single,none,2,"car or other, not in attribute 6",30,bank,own,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,Defaulted,100041,0,1,2,2,3,0,0,2,1,1.11,1
100042,0 <= … < 10000,12,existing credits paid back duly till now,radio/television,1158,5000 <= … < 10000 USD,1 <= … < 4 years,3,male  divorced/separated,none,1,"car or other, not in attribute 6",26,none,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100042,2,1,2,2,1,0,0,1,1,1.26,1
100043,0 <= … < 10000,18,delay in paying off in the past,repairs,6204,… < 1000 USD,1 <= … < 4 years,2,male  single,none,4,real estate,44,none,own,1,unskilled - resident,2,"yes, registered under the customer’s name",yes,Defaulted,100043,2,0,1,0,1,0,1,0,3,0.88,0
100044,… < 0 USD,30,critical account/other credits existing(not at this bank),car (used),6187,1000 <= … < 5000 USD,4 <= … < 7 years,1,male  married/widowed,none,4,"car or other, not in attribute 6",24,none,rent,2,skilled employee / official,1,none,yes,Defaulted,100044,1,0,1,1,2,0,1,1,1,0.83,0
100045,… < 0 USD,48,critical account/other credits existing(not at this bank),car (used),6143,… < 1000 USD,.. >= 7 years,4,female divorced/separated/married,none,4,unknown / no property,58,stores,for free,2,unskilled - resident,1,none,yes,No Default,100045,1,0,1,0,3,0,1,0,0,0.73,0
100046,no checking account,11,critical account/other credits existing(not at this bank),car (new),1393,… < 1000 USD,… < 1 year,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",35,none,own,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,Defaulted,100046,0,0,2,0,0,0,1,2,1,0.51,0
100047,no checking account,36,existing credits paid back duly till now,radio/television,2299,5000 <= … < 10000 USD,.. >= 7 years,4,male  single,none,4,"car or other, not in attribute 6",39,none,own,1,skilled employee / official,1,none,yes,Defaulted,100047,0,1,2,2,3,0,1,1,1,1.16,1
100048,… < 0 USD,6,existing credits paid back duly till now,car (used),1352,5000 <= … < 10000 USD,unemployed,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,1,unemployed/ unskilled - non-resident,1,"yes, registered under the customer’s name",yes,Defaulted,100048,1,1,2,2,0,0,0,0,2,0.96,1
100049,no checking account,11,critical account/other credits existing(not at this bank),car (new),7228,… < 1000 USD,1 <= … < 4 years,1,male  single,none,4,building society savings agreement/life insurance,39,none,own,2,unskilled - resident,1,none,yes,Defaulted,100049,0,0,1,0,1,0,1,0,2,0.43,0
100050,no checking account,12,existing credits paid back duly till now,radio/television,2073,1000 <= … < 5000 USD,1 <= … < 4 years,4,female divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1,none,yes,Defaulted,100050,0,1,2,1,1,1,0,1,3,0.93,1
100051,0 <= … < 10000,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,… < 1 year,4,male  single,none,2,building society savings agreement/life insurance,29,bank,own,1,unskilled - resident,1,none,yes,Defaulted,100051,2,0,2,0,0,0,0,0,2,0.76,0
100052,0 <= … < 10000,27,delay in paying off in the past,car (used),5965,… < 1000 USD,.. >= 7 years,1,male  single,none,2,"car or other, not in attribute 6",30,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,Defaulted,100052,2,0,1,0,3,0,0,2,1,0.98,1
100053,no checking account,12,existing credits paid back duly till now,radio/television,1262,… < 1000 USD,1 <= … < 4 years,3,male  single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,Defaulted,100053,0,1,2,0,1,0,0,1,1,0.66,0
100054,no checking account,18,existing credits paid back duly till now,car (used),3378,unknown/ no savings account,1 <= … < 4 years,2,male  single,none,1,building society savings agreement/life insurance,31,none,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100054,0,1,1,0,1,0,0,1,2,0.58,0
100055,0 <= … < 10000,36,delay in paying off in the past,car (new),2225,… < 1000 USD,.. >= 7 years,4,male  single,none,4,unknown / no property,57,bank,for free,2,skilled employee / official,1,"yes, registered under the customer’s name",yes,No Default,100055,2,0,2,0,3,0,1,1,0,1.11,1
100056,no checking account,6,all credits at this bank paid back duly,car (new),783,unknown/ no savings account,1 <= … < 4 years,1,male  single,guarantor,2,real estate,26,stores,own,1,unskilled - resident,2,none,yes,Defaulted,100056,0,1,2,0,1,2,0,0,3,0.85,0
100057,0 <= … < 10000,12,existing credits paid back duly till now,radio/television,6468,unknown/ no savings account,unemployed,2,male  single,none,1,unknown / no property,52,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,No Default,100057,2,1,1,0,0,0,0,2,0,0.83,0
100058,no checking account,36,critical account/other credits existing(not at this bank),radio/television,9566,… < 1000 USD,1 <= … < 4 years,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",31,stores,own,2,skilled employee / official,1,none,yes,Defaulted,100058,0,0,1,0,1,0,0,1,1,0.33,0
100059,… >= 10000 USD,18,existing credits paid back duly till now,car (new),1961,… < 1000 USD,.. >= 7 years,3,female divorced/separated/married,none,2,"car or other, not in attribute 6",23,none,own,1,management/ self-employed/highly qualified employee/ officer,1,none,yes,Defaulted,100059,3,1,2,0,3,0,0,2,1,1.51,1
100060,… < 0 USD,36,critical account/other credits existing(not at this bank),furniture/equipment,6229,… < 1000 USD,… < 1 year,4,female divorced/separated/married,co-applicant,4,unknown / no property,23,none,rent,2,unskilled - resident,1,"yes, registered under the customer’s name",yes,No Default,100060,1,0,1,0,0,1,1,0,0,0.50,0
100061,0 <= … < 10000,9,existing credits paid back duly till now,business,1391,… < 1000 USD,1 <= … < 4 years,2,male  married/widowed,none,1,real estate,27,bank,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100061,2,1,2,0,1,0,0,1,3,1.16,1
100062,0 <= … < 10000,15,critical account/other credits existing(not at this bank),radio/television,1537,unknown/ no savings account,.. >= 7 years,4,male  single,guarantor,4,real estate,50,none,own,2,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100062,2,0,2,0,3,2,1,1,3,1.40,1
100063,0 <= … < 10000,36,no credits taken/all credits paid back duly,business,1953,… < 1000 USD,.. >= 7 years,4,male  single,none,4,unknown / no property,61,none,for free,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,No Default,100063,2,2,2,0,3,0,1,2,0,1.56,1
100064,0 <= … < 10000,48,no credits taken/all credits paid back duly,business,14421,… < 1000 USD,1 <= … < 4 years,2,male  single,none,2,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,No Default,100064,2,2,0,0,1,0,0,1,1,1.00,1
100065,no checking account,24,existing credits paid back duly till now,radio/television,3181,… < 1000 USD,… < 1 year,4,female divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100065,0,1,1,0,0,0,1,1,2,0.58,0
100066,no checking account,27,existing credits paid back duly till now,repairs,5190,unknown/ no savings account,.. >= 7 years,4,male  single,none,4,building society savings agreement/life insurance,48,none,own,4,skilled employee / official,2,"yes, registered under the customer’s name",yes,Defaulted,100066,0,1,1,0,3,0,1,1,2,0.88,0
100067,no checking account,12,existing credits paid back duly till now,radio/television,2171,… < 1000 USD,… < 1 year,2,female divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1,none,yes,Defaulted,100067,0,1,2,0,0,0,0,1,1,0.56,0
100068,0 <= … < 10000,12,existing credits paid back duly till now,car (new),1007,.. >= 10000 USD,1 <= … < 4 years,4,male  married/widowed,none,1,real estate,22,none,own,1,skilled employee / official,1,none,yes,Defaulted,100068,2,1,2,3,1,0,0,1,3,1.46,1
100069,no checking account,36,existing credits paid back duly till now,education,1819,… < 1000 USD,1 <= … < 4 years,4,male  single,none,4,unknown / no property,37,stores,for free,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,No Default,100069,0,1,2,0,1,0,1,1,0,0.71,0
100070,no checking account,36,existing credits paid back duly till now,radio/television,2394,unknown/ no savings account,1 <= … < 4 years,4,female divorced/separated/married,none,4,"car or other, not in attribute 6",25,none,own,1,skilled employee / official,1,none,yes,Defaulted,100070,0,1,2,0,1,0,1,1,1,0.76,0
100071,no checking account,36,existing credits paid back duly till now,car (used),8133,… < 1000 USD,1 <= … < 4 years,1,female divorced/separated/married,none,2,building society savings agreement/life insurance,30,bank,own,1,skilled employee / official,1,none,yes,Defaulted,100071,0,1,1,0,1,0,0,1,2,0.58,0
100072,no checking account,7,critical account/other credits existing(not at this bank),radio/television,730,unknown/ no savings account,.. >= 7 years,4,male  single,none,2,building society savings agreement/life insurance,46,none,rent,2,unskilled - resident,1,"yes, registered under the customer’s name",yes,Defaulted,100072,0,0,2,0,3,0,0,0,2,0.66,0
100073,… < 0 USD,8,critical account/other credits existing(not at this bank),others,1164,… < 1000 USD,.. >= 7 years,3,male  single,none,4,unknown / no property,51,bank,for free,2,management/ self-employed/highly qualified employee/ officer,2,"yes, registered under the customer’s name",yes,Defaulted,100073,1,0,2,0,3,0,1,2,0,0.96,1
100074,0 <= … < 10000,42,critical account/other credits existing(not at this bank),business,5954,… < 1000 USD,4 <= … < 7 years,2,female divorced/separated/married,none,1,real estate,41,bank,own,2,unskilled - resident,1,none,yes,Defaulted,100074,2,0,1,0,2,0,0,0,3,0.88,0
100075,… < 0 USD,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,.. >= 7 years,4,male  single,none,4,unknown / no property,40,none,own,1,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,No Default,100075,1,1,2,0,3,0,1,2,0,1.16,1
100076,… < 0 USD,12,critical account/other credits existing(not at this bank),car (used),1526,… < 1000 USD,.. >= 7 years,4,male  single,none,4,unknown / no property,66,none,for free,2,management/ self-employed/highly qualified employee/ officer,1,none,yes,Defaulted,100076,1,0,2,0,3,0,1,2,0,0.96,1
100077,… < 0 USD,42,existing credits paid back duly till now,radio/television,3965,… < 1000 USD,… < 1 year,4,male  single,none,3,"car or other, not in attribute 6",34,none,own,1,skilled employee / official,1,none,yes,No Default,100077,1,1,1,0,0,0,1,1,1,0.73,0
100078,0 <= … < 10000,11,delay in paying off in the past,radio/television,4771,… < 1000 USD,4 <= … < 7 years,2,male  single,none,4,building society savings agreement/life insurance,51,none,own,1,skilled employee / official,1,none,yes,Defaulted,100078,2,0,1,0,2,0,1,1,2,0.98,1
100079,no checking account,54,no credits taken/all credits paid back duly,car (used),9436,unknown/ no savings account,1 <= … < 4 years,2,male  single,none,2,building society savings agreement/life insurance,39,none,own,1,unskilled - resident,2,none,yes,Defaulted,100079,0,2,1,0,1,0,0,0,2,0.73,0
100080,0 <= … < 10000,30,existing credits paid back duly till now,furniture/equipment,3832,… < 1000 USD,… < 1 year,2,male  married/widowed,none,1,building society savings agreement/life insurance,22,none,own,1,skilled employee / official,1,none,yes,Defaulted,100080,2,1,1,0,0,0,0,1,2,0.88,0
100081,no checking account,24,existing credits paid back duly till now,radio/television,5943,unknown/ no savings account,… < 1 year,1,female divorced/separated/married,none,1,"car or other, not in attribute 6",44,none,own,2,skilled employee / official,1,"yes, registered under the customer’s name",yes,No Default,100081,0,1,1,0,0,0,0,1,1,0.43,0
100082,no checking account,15,existing credits paid back duly till now,radio/television,1213,5000 <= … < 10000 USD,.. >= 7 years,4,male  single,none,3,building society savings agreement/life insurance,47,stores,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100082,0,1,2,2,3,0,1,1,2,1.21,1
100083,no checking account,18,existing credits paid back duly till now,business,1568,1000 <= … < 5000 USD,1 <= … < 4 years,3,female divorced/separated/married,none,4,building society savings agreement/life insurance,24,none,rent,1,unskilled - resident,1,none,yes,Defaulted,100083,0,1,2,1,1,0,1,0,2,0.86,0
100084,… < 0 USD,24,existing credits paid back duly till now,others,1755,… < 1000 USD,.. >= 7 years,4,female divorced/separated/married,guarantor,4,real estate,58,none,own,1,unskilled - resident,1,"yes, registered under the customer’s name",yes,Defaulted,100084,1,1,2,0,3,2,1,0,3,1.35,1
100085,… < 0 USD,10,existing credits paid back duly till now,radio/television,2315,… < 1000 USD,.. >= 7 years,3,male  single,none,4,real estate,52,none,own,1,unskilled - resident,1,none,yes,Defaulted,100085,1,1,2,0,3,0,1,0,3,1.21,1
100086,no checking account,12,critical account/other credits existing(not at this bank),business,1412,… < 1000 USD,1 <= … < 4 years,4,female divorced/separated/married,guarantor,2,real estate,29,none,own,2,management/ self-employed/highly qualified employee/ officer,1,"yes, registered under the customer’s name",yes,Defaulted,100086,0,0,2,0,1,2,0,2,3,0.75,0
100087,0 <= … < 10000,18,critical account/other credits existing(not at this bank),furniture/equipment,1295,… < 1000 USD,… < 1 year,4,female divorced/separated/married,none,1,building society savings agreement/life insurance,27,none,own,2,skilled employee / official,1,none,yes,Defaulted,100087,2,0,2,0,0,0,0,1,2,0.81,0
100088,0 <= … < 10000,36,existing credits paid back duly till now,education,12612,1000 <= … < 5000 USD,1 <= … < 4 years,1,male  single,none,4,unknown / no property,47,none,for free,1,skilled employee / official,2,"yes, registered under the customer’s name",yes,No Default,100088,2,1,0,1,1,0,1,1,0,0.95,1
100089,… < 0 USD,18,existing credits paid back duly till now,car (new),2249,1000 <= … < 5000 USD,4 <= … < 7 years,4,male  single,none,3,"car or other, not in attribute 6",30,none,own,1,management/ self-employed/highly qualified employee/ officer,2,"yes, registered under the customer’s name",yes,Defaulted,100089,1,1,2,1,2,0,1,2,1,1.21,1
100090,… < 0 USD,12,no credits taken/all credits paid back duly,repairs,1108,… < 1000 USD,4 <= … < 7 years,4,male  single,none,3,real estate,28,none,own,2,skilled employee / official,1,none,yes,No Default,100090,1,2,2,0,2,0,1,1,3,1.36,1
100091,no checking account,12,critical account/other credits existing(not at this bank),radio/television,618,… < 1000 USD,.. >= 7 years,4,male  single,none,4,real estate,56,none,own,1,skilled employee / official,1,none,yes,Defaulted,100091,0,0,2,0,3,0,1,1,3,0.86,0
100092,… < 0 USD,12,critical account/other credits existing(not at this bank),car (used),1409,… < 1000 USD,.. >= 7 years,4,male  single,none,3,real estate,54,none,own,1,skilled employee / official,1,none,yes,Defaulted,100092,1,0,2,0,3,0,1,1,3,1.06,1
100093,no checking account,12,critical account/other credits existing(not at this bank),radio/television,797,unknown/ no savings account,.. >= 7 years,4,female divorced/separated/married,none,3,building society savings agreement/life insurance,33,bank,own,1,unskilled - resident,2,none,yes,No Default,100093,0,0,2,0,3,0,1,0,2,0.76,0
100094,… >= 10000 USD,24,critical account/other credits existing(not at this bank),furniture/equipment,3617,unknown/ no savings account,.. >= 7 years,4,male  single,co-applicant,4,unknown / no property,20,none,rent,2,skilled employee / official,1,none,yes,Defaulted,100094,3,0,1,0,3,1,1,1,0,1.25,1
100095,0 <= … < 10000,12,existing credits paid back duly till now,car (new),1318,.. >= 10000 USD,.. >= 7 years,4,male  single,none,4,real estate,54,none,own,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,Defaulted,100095,2,1,2,3,3,0,1,1,3,1.76,1
100096,0 <= … < 10000,54,no credits taken/all credits paid back duly,business,15945,… < 1000 USD,… < 1 year,3,male  single,none,4,unknown / no property,58,none,rent,1,skilled employee / official,1,"yes, registered under the customer’s name",yes,No Default,100096,2,2,0,0,0,0,1,1,0,0.95,1
100097,no checking account,12,critical account/other credits existing(not at this bank),education,2012,unknown/ no savings account,4 <= … < 7 years,4,female divorced/separated/married,none,2,"car or other, not in attribute 6",61,none,own,1,skilled employee / official,1,none,yes,Defaulted,100097,0,0,2,0,2,0,0,1,1,0.56,0
